t=2026-06-04T10:21:02-0600 lvl=info msg="no configuration paths supplied"
t=2026-06-04T10:21:02-0600 lvl=info msg="using configuration at default config path" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-06-04T10:21:02-0600 lvl=info msg="open config file" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-06-04T10:21:02-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-04T10:21:02-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-04T10:21:02-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-04T10:21:02-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-04T11:36:57-0600 lvl=info msg="join connections" obj=join id=87b6512a2555 l=[::1]:3000 r=[2a03:2880:10ff:4b::]:51264
t=2026-06-04T11:36:57-0600 lvl=info msg="join connections" obj=join id=ff39cfaef2df l=[::1]:3000 r=[2a03:2880:2ff:4f::]:42040
t=2026-06-04T11:36:57-0600 lvl=info msg="join connections" obj=join id=4a5466a4e574 l=[::1]:3000 r=[2a03:2880:22ff:4d::]:55840
t=2026-06-04T11:37:01-0600 lvl=info msg="join connections" obj=join id=b5cf3a290e13 l=[::1]:3000 r=[2a03:2880:10ff:b::]:34308
t=2026-06-04T11:37:03-0600 lvl=info msg="join connections" obj=join id=63843a586f76 l=[::1]:3000 r=[2a03:2880:22ff:50::]:39974
t=2026-06-04T11:37:03-0600 lvl=info msg="join connections" obj=join id=61869bc1685c l=[::1]:3000 r=[2a03:2880:10ff:4e::]:47488
t=2026-06-04T11:37:03-0600 lvl=info msg="join connections" obj=join id=efa7a230ee53 l=[::1]:3000 r=[2a03:2880:10ff:4::]:49724
t=2026-06-04T11:37:04-0600 lvl=info msg="join connections" obj=join id=897dd919091e l=[::1]:3000 r=[2a03:2880:10ff:44::]:45508
t=2026-06-04T11:37:11-0600 lvl=info msg="join connections" obj=join id=f07131377bc8 l=[::1]:3000 r=[2a03:2880:22ff:4::]:54648
t=2026-06-04T11:37:15-0600 lvl=info msg="join connections" obj=join id=e3bc538dd071 l=[::1]:3000 r=[2a03:2880:2ff:8::]:41082
t=2026-06-04T11:37:15-0600 lvl=info msg="join connections" obj=join id=f43fa6a52bc7 l=[::1]:3000 r=[2a03:2880:21ff:52::]:45470
t=2026-06-04T11:37:15-0600 lvl=info msg="join connections" obj=join id=e8f468f95cd2 l=[::1]:3000 r=[2a03:2880:10ff:44::]:33540
t=2026-06-04T11:37:15-0600 lvl=info msg="join connections" obj=join id=8ee1a342b145 l=[::1]:3000 r=[2a03:2880:22ff:4e::]:40054
t=2026-06-04T11:37:21-0600 lvl=info msg="join connections" obj=join id=afb9c29823ec l=[::1]:3000 r=[2a03:2880:2ff:7::]:50810
t=2026-06-04T11:37:23-0600 lvl=info msg="join connections" obj=join id=487bed9d61df l=[::1]:3000 r=[2a03:2880:22ff:4c::]:53088
t=2026-06-04T11:37:23-0600 lvl=info msg="join connections" obj=join id=80277d3930b8 l=[::1]:3000 r=[2a03:2880:24ff:5b::]:52974
t=2026-06-04T11:37:24-0600 lvl=info msg="join connections" obj=join id=d1d2c4be6269 l=[::1]:3000 r=[2a03:2880:22ff:48::]:47938
t=2026-06-04T11:37:24-0600 lvl=info msg="join connections" obj=join id=a1793984d0fb l=[::1]:3000 r=[2a03:2880:10ff:4a::]:42270
t=2026-06-04T11:37:24-0600 lvl=info msg="join connections" obj=join id=4a8d8ab07775 l=[::1]:3000 r=[2a03:2880:21ff:b::]:47210
t=2026-06-04T11:37:24-0600 lvl=info msg="join connections" obj=join id=8b8dfb62ad8e l=[::1]:3000 r=[2a03:2880:12ff:73::]:46284
t=2026-06-04T11:37:25-0600 lvl=info msg="join connections" obj=join id=4aa7d1b03652 l=[::1]:3000 r=[2a03:2880:21ff:72::]:57612
t=2026-06-04T11:37:25-0600 lvl=info msg="join connections" obj=join id=24be6fd101bc l=[::1]:3000 r=[2a03:2880:22ff:44::]:45334
t=2026-06-04T11:37:25-0600 lvl=info msg="join connections" obj=join id=ec8901f219cb l=[::1]:3000 r=[2a03:2880:12ff:2::]:41626
t=2026-06-04T11:37:25-0600 lvl=info msg="join connections" obj=join id=f1be9a7bb24f l=[::1]:3000 r=[2a03:2880:22ff:8::]:52772
t=2026-06-04T11:37:25-0600 lvl=info msg="join connections" obj=join id=b2211c46cd3d l=[::1]:3000 r=[2a03:2880:22ff:40::]:60136
t=2026-06-04T11:37:25-0600 lvl=info msg="join connections" obj=join id=6bd7320170ba l=[::1]:3000 r=[2a03:2880:10ff:4a::]:42286
